CheckingAccountStatus,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentDuration,InstallmentRate,PersonalStatus,Guarantor,ResidenceDuration,Property,Age,OtherInstallmentPlans,Housing,ExistingCredits,Job,Dependents,Telephone,ForeignWorker,Risk
4,15,Existing credits paid back,Radio/TV,1979,Unknown / None,>= 7 years,4,Male single,None,2,Car or other,35,None,Own,1,Skilled,2,No,No,Low Risk
4,24,Critical account,Car (new),2022,< 100 DM,1 - 4 years,4,Female divorced/separated/married,None,4,Car or other,37,None,Own,1,Skilled,2,Yes,No,Low Risk
4,36,Critical account,Radio/TV,3342,Unknown / None,>= 7 years,4,Male single,None,2,Car or other,51,None,Own,1,Skilled,2,Yes,No,Low Risk
2,18,Existing credits paid back,Car (new),5866,100 <= savings < 500,1 - 4 years,2,Male single,None,2,Car or other,30,None,Own,2,Skilled,2,Yes,No,Low Risk
3,15,Critical account,Car (used),2360,500 <= savings < 1000,1 - 4 years,2,Male single,None,2,Car or other,36,None,Own,1,Skilled,2,Yes,No,Low Risk
4,15,Critical account,Furniture/equipment,1520,Unknown / None,>= 7 years,4,Male single,None,4,Building society savings,63,None,Own,1,Skilled,2,No,No,Low Risk
1,12,Existing credits paid back,Car (new),3651,>= 1000 DM,1 - 4 years,1,Male single,None,3,Building society savings,31,None,Own,1,Skilled,1,No,No,Low Risk
4,24,Critical account,Car (used),2346,< 100 DM,4 - 7 years,4,Male single,None,3,Car or other,35,None,Own,2,Skilled,2,Yes,No,Low Risk
4,36,Delay in paying,Radio/TV,4454,< 100 DM,1 - 4 years,4,Female divorced/separated/married,None,4,Real estate,34,None,Own,2,Skilled,2,No,No,Low Risk
1,6,Critical account,Car (new),666,>= 1000 DM,4 - 7 years,3,Female divorced/separated/married,None,4,Real estate,39,None,Own,2,Unskilled,2,Yes,No,Low Risk
2,24,Delay in paying,Car (new),1965,Unknown / None,1 - 4 years,4,Female divorced/separated/married,None,4,Car or other,42,None,Rent,2,Skilled,2,Yes,No,Low Risk
2,12,Critical account,Car (new),1995,100 <= savings < 500,< 1 year,4,Male single,None,1,Car or other,27,None,Own,1,Skilled,2,No,No,Low Risk
2,30,Existing credits paid back,Radio/TV,2991,Unknown / None,>= 7 years,2,Female divorced/separated/married,None,4,Car or other,25,None,Own,1,Skilled,2,No,No,Low Risk
2,30,No credit history,Business,4221,< 100 DM,1 - 4 years,2,Female divorced/separated/married,None,1,Car or other,28,None,Own,2,Skilled,2,No,No,Low Risk
1,9,Existing credits paid back,Radio/TV,1364,< 100 DM,4 - 7 years,3,Male single,None,4,Real estate,59,None,Own,1,Skilled,2,No,No,Low Risk
2,18,Critical account,Furniture/equipment,6361,< 100 DM,>= 7 years,2,Male single,None,1,Unknown / None,41,None,Own,1,Skilled,2,Yes,No,Low Risk
4,27,Critical account,Furniture/equipment,4526,>= 1000 DM,< 1 year,4,Male single,None,2,Real estate,32,Stores,Own,2,Unskilled,1,Yes,No,Low Risk
2,12,Critical account,Radio/TV,3573,< 100 DM,1 - 4 years,1,Female divorced/separated/married,None,1,Real estate,23,None,Own,1,Unskilled,2,No,No,Low Risk
2,36,Delay in paying,Business,4455,< 100 DM,1 - 4 years,2,Male divorced/separated,None,2,Real estate,30,Stores,Own,2,Highly skilled,2,Yes,No,High Risk
1,9,Existing credits paid back,Furniture/equipment,2136,< 100 DM,1 - 4 years,3,Male single,None,2,Real estate,25,None,Own,1,Skilled,2,No,No,Low Risk
2,42,Critical account,Business,5954,< 100 DM,4 - 7 years,2,Female divorced/separated/married,None,1,Real estate,41,Bank,Own,2,Unskilled,2,No,No,Low Risk
4,24,Critical account,Furniture/equipment,3777,>= 1000 DM,1 - 4 years,4,Male single,None,4,Real estate,40,None,Own,1,Skilled,2,Yes,No,Low Risk
1,15,Existing credits paid back,Business,806,< 100 DM,1 - 4 years,4,Female divorced/separated/married,None,4,Building society savings,22,None,Own,1,Unskilled,2,No,No,Low Risk
2,24,Delay in paying,Business,4712,Unknown / None,1 - 4 years,4,Male single,None,2,Building society savings,34,Bank,Own,2,Highly skilled,2,Yes,No,Low Risk
2,36,Delay in paying,Car (new),7432,< 100 DM,1 - 4 years,2,Female divorced/separated/married,None,2,Building society savings,54,None,Rent,1,Skilled,2,No,No,Low Risk
4,24,Critical account,Radio/TV,1851,< 100 DM,4 - 7 years,4,Male married/widowed,Guarantor,2,Car or other,33,None,Own,2,Skilled,2,Yes,No,Low Risk
4,24,Existing credits paid back,Car (new),1393,< 100 DM,1 - 4 years,2,Male single,Guarantor,2,Real estate,31,None,Own,1,Skilled,2,Yes,No,Low Risk
4,12,Critical account,Business,1412,< 100 DM,1 - 4 years,4,Female divorced/separated/married,Guarantor,2,Real estate,29,None,Own,2,Highly skilled,2,Yes,No,Low Risk
4,18,Existing credits paid back,Radio/TV,1473,< 100 DM,< 1 year,3,Male married/widowed,None,4,Real estate,39,None,Own,1,Skilled,2,Yes,No,Low Risk
4,24,Existing credits paid back,Radio/TV,1533,< 100 DM,< 1 year,4,Female divorced/separated/married,None,3,Car or other,38,Stores,Own,1,Skilled,2,Yes,No,Low Risk
4,12,Critical account,Education,2012,Unknown / None,4 - 7 years,4,Female divorced/separated/married,None,2,Car or other,61,None,Own,1,Skilled,2,No,No,Low Risk
1,15,Existing credits paid back,Car (new),3959,< 100 DM,1 - 4 years,3,Female divorced/separated/married,None,2,Building society savings,29,None,Own,1,Skilled,2,Yes,No,High Risk
1,6,Existing credits paid back,Furniture/equipment,428,< 100 DM,>= 7 years,2,Female divorced/separated/married,None,1,Building society savings,49,Bank,Own,1,Skilled,2,Yes,No,Low Risk
2,12,Critical account,Car (new),2366,500 <= savings < 1000,4 - 7 years,3,Male divorced/separated,None,3,Car or other,36,None,Own,1,Highly skilled,2,Yes,No,Low Risk
4,12,Existing credits paid back,Furniture/equipment,763,< 100 DM,1 - 4 years,4,Female divorced/separated/married,None,1,Real estate,26,None,Own,1,Skilled,2,Yes,No,Low Risk
2,21,Existing credits paid back,Furniture/equipment,3976,Unknown / None,4 - 7 years,2,Male single,None,3,Car or other,35,None,Own,1,Skilled,2,Yes,No,Low Risk
2,18,Existing credits paid back,Car (new),6260,< 100 DM,4 - 7 years,3,Male single,None,3,Real estate,28,None,Rent,1,Unskilled,2,No,No,Low Risk
2,9,Critical account,Furniture/equipment,1919,< 100 DM,4 - 7 years,4,Male single,None,3,Car or other,35,None,Rent,1,Skilled,2,Yes,No,Low Risk
4,24,Existing credits paid back,Car (used),2603,>= 1000 DM,1 - 4 years,2,Female divorced/separated/married,None,4,Car or other,28,None,Rent,1,Skilled,2,Yes,No,Low Risk
4,9,Critical account,Education,936,500 <= savings < 1000,>= 7 years,4,Male single,None,2,Car or other,52,None,Own,2,Skilled,2,Yes,No,Low Risk
4,24,Existing credits paid back,Furniture/equipment,3062,500 <= savings < 1000,>= 7 years,4,Male single,None,3,Unknown / None,32,None,Rent,1,Skilled,2,Yes,No,Low Risk
2,36,Existing credits paid back,Radio/TV,4795,< 100 DM,< 1 year,4,Female divorced/separated/married,None,1,Unknown / None,30,None,Own,1,Highly skilled,2,Yes,No,Low Risk
4,36,Critical account,Car (used),5842,< 100 DM,>= 7 years,2,Male single,None,2,Building society savings,35,None,Own,2,Skilled,1,Yes,No,Low Risk
2,6,Existing credits paid back,Radio/TV,2063,< 100 DM,< 1 year,4,Male married/widowed,None,3,Car or other,30,None,Rent,1,Highly skilled,2,Yes,No,Low Risk
4,15,Critical account,Radio/TV,1459,< 100 DM,1 - 4 years,4,Female divorced/separated/married,None,2,Car or other,43,None,Own,1,Unskilled,2,No,No,Low Risk
4,15,Existing credits paid back,Radio/TV,1213,500 <= savings < 1000,>= 7 years,4,Male single,None,3,Building society savings,47,Stores,Own,1,Skilled,2,Yes,No,Low Risk
4,24,Critical account,Radio/TV,5103,< 100 DM,< 1 year,3,Male married/widowed,None,3,Unknown / None,47,None,Free,3,Skilled,2,Yes,No,Low Risk
4,15,Existing credits paid back,Domestic appliances,874,Unknown / None,< 1 year,4,Female divorced/separated/married,None,1,Real estate,24,None,Own,1,Skilled,2,No,No,Low Risk
4,6,Existing credits paid back,Furniture/equipment,2978,500 <= savings < 1000,1 - 4 years,1,Male single,None,2,Car or other,32,None,Own,1,Skilled,2,Yes,No,Low Risk
4,18,Existing credits paid back,Car (new),1820,< 100 DM,1 - 4 years,2,Male married/widowed,None,2,Building society savings,30,None,Own,1,Highly skilled,2,Yes,No,Low Risk
4,24,Critical account,Radio/TV,2872,100 <= savings < 500,>= 7 years,3,Male single,None,4,Real estate,36,None,Own,1,Skilled,1,Yes,No,Low Risk
3,24,Existing credits paid back,Furniture/equipment,1925,< 100 DM,1 - 4 years,2,Male single,None,2,Real estate,26,None,Own,1,Skilled,2,No,No,Low Risk
4,18,Existing credits paid back,Furniture/equipment,2515,< 100 DM,1 - 4 years,3,Male single,None,4,Real estate,43,None,Own,1,Skilled,2,Yes,No,Low Risk
3,6,Existing credits paid back,Furniture/equipment,2116,< 100 DM,1 - 4 years,2,Male single,None,2,Real estate,41,None,Own,1,Skilled,2,Yes,No,Low Risk
4,18,Existing credits paid back,Radio/TV,1453,< 100 DM,< 1 year,3,Female divorced/separated/married,None,1,Real estate,26,None,Own,1,Skilled,2,No,No,Low Risk
4,10,Existing credits paid back,Car (new),1364,< 100 DM,1 - 4 years,2,Female divorced/separated/married,None,4,Car or other,64,None,Own,1,Skilled,2,Yes,No,Low Risk
4,6,Existing credits paid back,Furniture/equipment,1543,>= 1000 DM,1 - 4 years,4,Male divorced/separated,None,2,Real estate,33,None,Own,1,Skilled,2,No,No,Low Risk
2,12,Existing credits paid back,Car (new),1318,>= 1000 DM,>= 7 years,4,Male single,None,4,Real estate,54,None,Own,1,Skilled,2,Yes,No,Low Risk
1,24,All credits paid back,Car (new),2325,100 <= savings < 500,4 - 7 years,2,Male single,None,3,Car or other,32,Bank,Own,1,Skilled,2,No,No,Low Risk
2,6,Critical account,Retraining,932,Unknown / None,4 - 7 years,1,Female divorced/separated/married,None,3,Building society savings,39,None,Own,2,Unskilled,2,No,No,Low Risk
3,24,Critical account,Radio/TV,3148,Unknown / None,1 - 4 years,3,Male single,None,2,Car or other,31,None,Own,2,Skilled,2,Yes,No,Low Risk
4,36,Existing credits paid back,Radio/TV,3835,Unknown / None,>= 7 years,2,Female divorced/separated/married,None,4,Real estate,45,None,Own,1,Unskilled,2,Yes,No,Low Risk
4,9,Existing credits paid back,Education,3832,Unknown / None,>= 7 years,1,Male single,None,4,Real estate,64,None,Own,1,Unskilled,2,No,No,Low Risk
2,24,Existing credits paid back,Radio/TV,5084,Unknown / None,>= 7 years,2,Female divorced/separated/married,None,4,Car or other,42,None,Own,1,Skilled,2,Yes,No,Low Risk
4,9,Critical account,Furniture/equipment,2406,< 100 DM,Unemployed,2,Male single,None,3,Car or other,31,None,Own,1,Highly skilled,2,No,No,Low Risk
4,36,Existing credits paid back,Radio/TV,2394,Unknown / None,1 - 4 years,4,Female divorced/separated/married,None,4,Car or other,25,None,Own,1,Skilled,2,No,No,Low Risk
4,21,Existing credits paid back,Car (used),2476,Unknown / None,>= 7 years,4,Male single,None,4,Real estate,46,None,Own,1,Highly skilled,2,Yes,No,Low Risk
1,24,Existing credits paid back,Car (used),2964,Unknown / None,>= 7 years,4,Male single,None,4,Unknown / None,49,Bank,Free,1,Skilled,1,Yes,No,Low Risk
1,12,Existing credits paid back,Furniture/equipment,1262,Unknown / None,>= 7 years,2,Male divorced/separated,None,4,Building society savings,49,None,Own,1,Unskilled,2,Yes,No,Low Risk
4,12,Existing credits paid back,Business,1542,< 100 DM,4 - 7 years,2,Male single,None,4,Car or other,36,None,Own,1,Skilled,2,Yes,No,Low Risk
2,24,Critical account,Radio/TV,1743,< 100 DM,>= 7 years,4,Male single,None,2,Building society savings,48,None,Own,2,Unskilled,2,No,No,Low Risk
3,12,All credits paid back,Radio/TV,409,>= 1000 DM,1 - 4 years,3,Female divorced/separated/married,None,3,Real estate,42,None,Rent,2,Skilled,2,No,No,Low Risk
4,12,Existing credits paid back,Radio/TV,2171,< 100 DM,< 1 year,2,Female divorced/separated/married,None,2,Car or other,29,Bank,Own,1,Skilled,2,No,No,Low Risk
4,48,Critical account,Car (used),8858,Unknown / None,4 - 7 years,2,Male single,None,1,Unknown / None,35,None,Free,2,Skilled,2,Yes,No,Low Risk
2,24,Existing credits paid back,Car (new),3512,100 <= savings < 500,4 - 7 years,2,Male single,None,3,Car or other,38,Bank,Own,2,Skilled,2,Yes,No,Low Risk
2,12,Existing credits paid back,Radio/TV,1158,500 <= savings < 1000,1 - 4 years,3,Male divorced/separated,None,1,Car or other,26,None,Own,1,Skilled,2,Yes,No,Low Risk
4,24,Critical account,Radio/TV,2684,< 100 DM,1 - 4 years,4,Male single,None,2,Real estate,35,None,Own,2,Unskilled,2,No,No,Low Risk
1,12,Existing credits paid back,Radio/TV,1498,< 100 DM,1 - 4 years,4,Female divorced/separated/married,None,1,Car or other,23,Bank,Own,1,Skilled,2,No,No,Low Risk
4,30,Critical account,Radio/TV,5954,< 100 DM,4 - 7 years,3,Male single,Co-applicant,2,Car or other,38,None,Own,1,Skilled,2,No,No,Low Risk
2,48,All credits paid back,Business,6416,< 100 DM,>= 7 years,4,Female divorced/separated/married,None,3,Unknown / None,59,None,Rent,1,Skilled,2,No,No,High Risk
2,12,Critical account,Furniture/equipment,3617,< 100 DM,>= 7 years,1,Male single,None,4,Car or other,28,None,Rent,3,Skilled,2,Yes,No,Low Risk
4,12,Critical account,Radio/TV,1291,< 100 DM,1 - 4 years,4,Female divorced/separated/married,None,2,Building society savings,35,None,Own,2,Skilled,2,No,No,Low Risk
3,24,Critical account,Business,1275,>= 1000 DM,1 - 4 years,2,Male divorced/separated,None,4,Real estate,36,None,Own,2,Skilled,2,Yes,No,Low Risk
4,24,Existing credits paid back,Furniture/equipment,3972,< 100 DM,4 - 7 years,2,Female divorced/separated/married,None,4,Building society savings,25,None,Rent,1,Skilled,2,Yes,No,Low Risk
4,15,Critical account,Furniture/equipment,3343,< 100 DM,1 - 4 years,4,Male single,None,2,Unknown / None,28,None,Free,1,Skilled,2,Yes,No,Low Risk
3,15,Existing credits paid back,Education,392,< 100 DM,< 1 year,4,Female divorced/separated/married,None,4,Building society savings,23,None,Rent,1,Skilled,2,Yes,No,Low Risk
4,9,Critical account,Car (new),2134,< 100 DM,1 - 4 years,4,Male single,None,4,Car or other,48,None,Own,3,Skilled,2,Yes,No,Low Risk
4,30,Critical account,Radio/TV,5771,< 100 DM,4 - 7 years,4,Female divorced/separated/married,None,2,Car or other,25,None,Own,2,Skilled,2,No,No,Low Risk
4,24,Critical account,Business,4526,< 100 DM,1 - 4 years,3,Male single,None,2,Real estate,74,None,Own,1,Highly skilled,2,Yes,No,Low Risk
4,15,Critical account,Furniture/equipment,2788,< 100 DM,4 - 7 years,2,Female divorced/separated/married,Co-applicant,3,Car or other,24,Bank,Own,2,Skilled,2,No,No,Low Risk
